Data,2024-08-28,
Competição,CDB,
Time,Bahia,
Local,F,
,,
Jogador,Nota por,Nota
Matheus Cunha,B10,8
Matheus Cunha,Simões,8
Varela,B10,7
Varela,Simões,7
Fabrício Bruno,B10,8
Fabrício Bruno,Simões,8.5
Léo Pereira,B10,8
Léo Pereira,Simões,8.5
Ayrton Lucas,B10,5
Ayrton Lucas,Simões,5.5
Pulgar,B10,6.5
Pulgar,Simões,6.5
Léo Ortiz,B10,6
Léo Ortiz,Simões,6.5
De La Cruz,B10,4
De La Cruz,Simões,3
Gerson,B10,6.5
Gerson,Simões,7
Luiz Araujo,B10,6.5
Luiz Araujo,Simões,7
Bruno Henrique,B10,7
Bruno Henrique,Simões,7
