Data,2025-03-16
Competição,CAR
Time,Fluminense
Local,C
,,
Jogador,Nota por,Nota
Rossi,B10,7.5
Wesley,B10,7
Léo Ortiz,B10,8
Léo Pereira,B10,8
Alex Sandro,B10,7
Pulgar,B10,8.5
De La Cruz,B10,9
Arrascaeta,B10,7
Gerson,B10,7
Luiz Araujo,B10,6
G. Plata,B10,7.5
Juninho,B10,7.5
Michael,B10,6.5
Rossi,Simões,7.5
Wesley,Simões,7.5
Léo Ortiz,Simões,8
Léo Pereira,Simões,8
Alex Sandro,Simões,7.5
Pulgar,Simões,8.5
De La Cruz,Simões,8.6
Arrascaeta,Simões,7.5
Gerson,Simões,7
Luiz Araujo,Simões,6
G. Plata,Simões,7
Juninho,Simões,7.5
Michael,Simões,6.5
