Data,2025-04-22
Competição,LIB
Time,LDU
Local,F
,,
Jogador,Nota por,Nota
Rossi,B10,7
Wesley,B10,7.5
Léo Ortiz,B10,7.5
Danilo,B10,8
Ayrton Lucas,B10,8
Pulgar,B10,8
Evertton Araujo,B10,6
Arrascaeta,B10,5
Gerson,B10,4.5
Cebolinha,B10,5
Bruno Henrique,B10,5
Juninho,B10,5
Luiz Araujo,B10,5.5
Pedro,B10,6.5
Rossi,Simões,7.5
Wesley,Simões,7.5
Léo Ortiz,Simões,7
Danilo,Simões,8
Ayrton Lucas,Simões,8
Pulgar,Simões,8
Evertton Araujo,Simões,6
Arrascaeta,Simões,5
Gerson,Simões,4
Cebolinha,Simões,5
Bruno Henrique,Simões,5
Juninho,Simões,5
Luiz Araujo,Simões,5.5
Pedro,Simões,6.5
