Data,2025-02-12,
Competição,CAR,
Time,Botafogo,
Local,C,
,,
Jogador,Nota por,Nota
Matheus Cunha,B10,6.5
Wesley,B10,8.5
Léo Ortiz,B10,8.5
Danilo,B10,8.5
Varela,B10,7.5
Allan,B10,7.5
De La Cruz,B10,5.5
De Arrascaeta,B10,5.5
Luiz Araujo,B10,6
Cebolinha,B10,5
Bruno Henrique,B10,5.5
Michael,B10,6
Gerson,B10,6
Evertton Araújo,B10,6
Matheus Cunha,Simões,6.5
Wesley,Simões,8.5
Léo Ortiz,Simões,8.5
Danilo,Simões,8.5
Varela,Simões,8
Allan,Simões,7.5
De La Cruz,Simões,6
De Arrascaeta,Simões,5.5
Luiz Araujo,Simões,6
Cebolinha,Simões,5
Bruno Henrique,Simões,5.5
Michael,Simões,6
Gerson,Simões,6
Evertton Araújo,Simões,6
