Data,2025-03-08
Competição,CAR
Time,Vasco
Local,C
,,
Jogador,Nota por,Nota
Rossi,B10,6.5
Wesley,B10,7.5
Léo Ortiz,B10,8.5
Léo Pereira,B10,7.5
Varela,B10,7
Pulgar,B10,7.5
De La Cruz,B10,9
Arrascaeta,B10,6
Gerson,B10,8
G. Plata,B10,8
Bruno Henrique,B10,7.5
Luiz Araujo,B10,8
Allan,B10,6
Alex Sandro,B10,6.5
Rossi,Simões,6.5
Wesley,Simões,7.5
Léo Ortiz,Simões,8.5
Léo Pereira,Simões,8
Varela,Simões,7
Pulgar,Simões,8
De La Cruz,Simões,9
Arrascaeta,Simões,6
Gerson,Simões,8
G. Plata,Simões,7.5
Bruno Henrique,Simões,7
