Data,2025-03-29
Competição,BR
Time,Internacional
Local,C
,,
Jogador,Nota por,Nota
Rossi,B10,6
Wesley,B10,6.5
Léo Ortiz,B10,7.5
Léo Pereira,B10,8.5
Alex Sandro,B10,8
Pulgar,B10,6.5
De La Cruz,B10,7.5
Luiz Araujo,B10,5
Michael,B10,4.5
G. Plata,B10,6.5
Cebolinha,B10,5.5
Bruno Henrique,B10,8
Wallace Yan,B10,7
Juninho,B10,7
Rossi,Simões,6
Wesley,Simões,6.5
Léo Ortiz,Simões,8
Léo Pereira,Simões,8.5
Alex Sandro,Simões,8.5
Pulgar,Simões,6.5
De La Cruz,Simões,7.5
Luiz Araujo,Simões,5
Michael,Simões,4.5
G. Plata,Simões,6.5
Cebolinha,Simões,6
Bruno Henrique,Simões,8
Wallace Yan,Simões,7.5
Juninho,Simões,7.5
