Data,2025-04-09
Competição,LIB
Time,Central Córdoba
Local,C
,,
Jogador,Nota por,Nota
Rossi,B10,5.5
Varela,B10,6
Léo Ortiz,B10,5.5
Léo Pereira,B10,4.5
Alex Sandro,B10,5
Pulgar,B10,4.5
De La Cruz,B10,8
Arrascaeta,B10,5
Gerson,B10,5.5
G. Plata,B10,6
Bruno Henrique,B10,4
Juninho,B10,4.5
Wesley,B10,3
Evertton Araujo,B10,5
Rossi,Simões,5
Varela,Simões,6
Léo Ortiz,Simões,5.5
Léo Pereira,Simões,4
Alex Sandro,Simões,5
Pulgar,Simões,4.5
De La Cruz,Simões,8
Arrascaeta,Simões,5.5
Gerson,Simões,5.5
G. Plata,Simões,7
Bruno Henrique,Simões,4
Juninho,Simões,6
Wesley,Simões,3
Evertton Araujo,Simões,5
