Data,2025-05-15
Competição,LIB
Time,LDU
Local,C
,,
Jogador,Nota por,Nota
Rossi,B10,6
Wesley,B10,6
Léo Ortiz,B10,8.5
Léo Pereira,B10,8
Alex Sandro,B10,8.5
De La Cruz,B10,9
Arrascaeta,B10,5
Gerson,B10,8.5
Michael,B10,4
Cebolinha,B10,5.5
Bruno Henrique,B10,5
Luiz Araujo,B10,8
Pedro,B10,5.5
Rossi,Simões,6
Wesley,Simões,6.5
Léo Ortiz,Simões,8.5
Léo Pereira,Simões,8
Alex Sandro,Simões,9
De La Cruz,Simões,9
Arrascaeta,Simões,5.5
Gerson,Simões,8.5
Michael,Simões,4.5
Cebolinha,Simões,5.5
Bruno Henrique,Simões,6
Luiz Araujo,Simões,8
Pedro,Simões,5.5
