Data,2025-05-25
Competição,BR
Time,Palmeiras
Local,F
,,
Jogador,Nota por,Nota
Rossi,B10,9
Varela,B10,8.5
Léo Ortiz,B10,9
Léo Pereira,B10,8.5
Alex Sandro,B10,9
Evertton Araujo,B10,5.5
Arrascaeta,B10,7
Gerson,B10,7
Michael,B10,6.5
Cebolinha,B10,3
Bruno Henrique,B10,6
Luiz Araujo,B10,7
Rossi,Simões,9
Varela,Simões,8.9
Léo Ortiz,Simões,9
Léo Pereira,Simões,8.9
Alex Sandro,Simões,9
Evertton Araujo,Simões,5
Arrascaeta,Simões,7
Gerson,Simões,7
Michael,Simões,6.5
Cebolinha,Simões,2
Bruno Henrique,Simões,6
Luiz Araujo,Simões,6.5
