Time,Escudo
Volta Redonda,media/escudos/volta.png
Sampaio Corrêa,media/escudos/sampaio_correa_rj.png
São Paulo,media/escudos/saopaulo.png
Amazonas,media/escudos/amazonas_fc_am.png
Atlético-GO,media/escudos/atlego.png
Atlético-MG,media/escudos/atletico.png
Athletico,media/escudos/atlpr.png
Audax,media/escudos/audax_rj.png
Bahia,media/escudos/bahia.png
Bangu,media/escudos/bangu.png
Bayern Munchen,media/escudos/bayern.png
Boavista,media/escudos/boavista_rj.png
Bolivar,media/escudos/bolivar.png
Botafogo,media/escudos/botafogo.png
Botafogo-PB,media/escudos/botapb.png
Red Bull Bragantino,media/escudos/bragantino.png
Ceará,media/escudos/ceara.png
Central Córdoba,media/escudos/central_cord_santiago_arg.png
Chelsea,media/escudos/chelsea.png
Corinthians,media/escudos/corinthians.png
Criciúma,media/escudos/criciuma.png
Cruz Azul,media/escudos/cruzazul.png
Cruzeiro,media/escudos/cruzeiro.png
Cuiabá,media/escudos/cuiaba_mt.png
Espérance,media/escudos/esperance_tun.png
Estudiantes,media/escudos/estudic.png
Fluminense,media/escudos/fluminense.png
Fortaleza,media/escudos/fortaleza.png
Grêmio,media/escudos/gremio.png
Internacional,media/escudos/interrs.png
Juventude,media/escudos/juventude.png
LDU,media/escudos/ldu.png
LA FC,media/escudos/los_angeles_shield.png
Madureira,media/escudos/madureira.png
Maricá,media/escudos/marica_rj.png
Millionarios,media/escudos/millo.png
Mirassol,media/escudos/mirassol.png
none,media/escudos/none.png
Nova Iguaçu,media/escudos/novaiguacu_rj.png
Orlando City,media/escudos/orlando_city.png
Palestino,media/escudos/palestino.png
Palmeiras,media/escudos/palmeiras.png
Peñarol,media/escudos/penarol.png
Portuguesa,media/escudos/portuguesa_rj.png
PSG,media/escudos/psg.png
Pyramids,media/escudos/pyramids_egy.png
Racing,media/escudos/racingc.png
Santos,media/escudos/santos.png
Sport,media/escudos/sport.png
Deportivo Táchira,media/escudos/tachira.png
Vasco,media/escudos/vasco.png
Vitória,media/escudos/vitoria.png
